months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
185,38,607435,1994-04-07,OH,100/300,989,1819.05,65313,464428,MALE,Masters,armed-forces,camping,own-child,2229,0,2015-02-06,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Riverwood,2986 MLK Drive,11,1,NO,2,2,NO,46076,6698,12737,33253,Suburu,Pathfinder,2002,N
317,48,931304,1993-09-30,IL,500/1000,1025,2047.59,7320534,455256,FEMALE,Associate,machine-op-inspct,exercise,wife,76934,0,2015-02-04,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Springfield,8758 5th St,6,1,YES,2,3,NO,70783,12074,6551,25220,Chevrolet,Ultima,1995,N
334,25,403512,1992-01-05,IN,100/300,1021,1745.78,143191,477916,FEMALE,High School,sales,video-games,wife,91479,-44563,2015-01-03,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,8064 4th Ave,14,1,NO,1,3,U,102633,11218,14234,56926,Nissan,Highlander,2002,Y
186,23,926920,2010-09-27,OH,100/300,1978,2047.59,-49423,465956,MALE,Associate,sales,kayaking,wife,49787,0,2015-01-07,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,4585 Francis Ave,17,1,NO,2,2,NO,82628,17927,14344,46965,Chevrolet,Grand Cherokee,2010,N
155,40,393304,2002-05-06,OH,100/300,508,1114.77,6767971,620711,MALE,MD,armed-forces,camping,not-in-family,1840,-46136,2015-01-02,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Springfield,5459 MLK Ave,1,1,NO,2,0,NO,77962,18446,8270,24928,Nissan,TL,2003,Y
350,43,381887,1994-09-17,IN,250/500,927,1684.39,-73833,461320,FEMALE,College,other-service,bungie-jumping,own-child,0,0,2015-01-16,Vehicle Theft,U,Trivial Damage,Police,VA,Hillsdale,9742 5th Ridge,9,1,NO,1,2,YES,9907,348,754,8083,Chevrolet,Wrangler,2000,N
291,30,884966,2003-02-11,IN,500/1000,538,1525.63,94304,469266,MALE,Associate,tech-support,movies,unmarried,887,-1711,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Springfield,8306 1st Drive,15,1,YES,1,3,NO,62359,4162,14717,52097,Toyota,Pathfinder,2015,N
236,32,466381,1998-10-28,OH,100/300,506,1870.08,9778,598290,FEMALE,MD,farming-fishing,exercise,not-in-family,0,0,2015-01-13,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Northbrook,9103 MLK Lane,17,3,NO,0,2,NO,43343,6316,7706,40500,Nissan,A5,2004,N
117,40,285746,1991-08-21,OH,500/1000,547,1597.23,-25022,430104,MALE,MD,exec-managerial,camping,own-child,45206,0,2015-02-04,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,6193 1st Hwy,1,3,U,2,2,YES,81180,3445,6166,39735,Ford,Maxima,2003,N
415,34,948086,2004-09-19,IN,500/1000,1939,1423.48,-96875,486536,FEMALE,Associate,sales,base-jumping,other-relative,0,0,2015-02-21,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Riverwood,7628 4th Lane,23,3,U,2,0,NO,61199,9612,17730,54342,Mercedes,Legacy,2010,N
311,27,843916,2002-06-25,OH,100/300,1985,1718.31,-3332,620962,FEMALE,High School,other-service,chess,not-in-family,1521,-29976,2015-01-29,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,9879 Apache Drive,16,1,NO,2,3,U,78401,11563,5174,57567,Accura,Tahoe,2008,Y
479,33,214016,1991-06-03,IN,500/1000,978,1833.0,67823,446709,FEMALE,MD,other-service,movies,other-relative,79070,0,2015-01-14,Parked Car,Side Collision,Minor Damage,Fire,NY,Hillsdale,5071 Flute Ridge,5,1,YES,2,3,NO,8752,0,1271,6249,BMW,Impreza,2003,N
